dam_name,county,state,condition_assessment_standardized,hazard_standardized,last_inspection_date,year_dam_completed,latitude,longitude,state2
Settingdown Creek Ws Str # 56,Forsyth_GA,GA,poor,high,2017-03-28,1954,34.314609999999995,-84.07016,Georgia
Settingdown Creek Ws Str # 6,Forsyth_GA,GA,poor,high,2017-03-28,1957,34.29265,-84.0827,Georgia
Seventh Day Adventist Lake Dam,Murray_GA,GA,poor,high,2017-03-09,1979,34.891056,-84.72805600000001,Georgia
Sharp Mountain Creek Ws Str # 1,Pickens_GA,GA,poor,high,2017-01-24,1957,34.440059999999995,-84.46095,Georgia
Sharp Mountain Creek Ws Str # 12,Pickens_GA,GA,poor,high,2017-01-24,1960,34.43926,-84.4421,Georgia
Sharp Mountain Creek Ws Str # 13,Pickens_GA,GA,poor,high,2017-03-15,1955,34.41191,-84.43027,Georgia
Sharp Mountain Creek Ws Str # 2,Pickens_GA,GA,poor,high,2017-01-24,1957,34.431944,-84.465556,Georgia
Sharp Mountain Creek Ws Str # 22,Pickens_GA,GA,poor,high,2017-01-25,1970,34.425833000000004,-84.40722199999999,Georgia
Shaw Lake Dam,Gilmer_GA,GA,poor,high,2016-03-01,1971,34.80145,-84.445264,Georgia
Sibley Millpond Dam,Coweta_GA,GA,poor,high,2017-01-25,0,33.247222,-84.728611,Georgia
Simpson Lake Dam,Harris_GA,GA,poor,high,2017-03-08,1961,32.625,-84.918806,Georgia
Skyland Lake Dam,Henry_GA,GA,poor,high,2016-02-15,1970,33.344167,-84.08555600000001,Georgia
Soque Creek W/S Str. #44,Habersham_GA,GA,poor,high,2016-03-09,0,34.609183,-83.446936,Georgia
Soque River Ws Str # 13,Habersham_GA,GA,poor,high,2017-03-22,1975,34.65416,-83.57972,Georgia
South  River W/S Str. # 51,Madison_GA,GA,poor,high,2017-03-23,1964,34.12944,-83.27696999999999,Georgia
South Fork Broad River W/S Str. # 65,Oglethorpe_GA,GA,poor,high,2013-02-20,1975,33.918079999999996,-83.18981,Georgia
South Fork Broad River W/S Str. #64,Madison_GA,GA,poor,high,2013-02-20,1964,34.09793,-83.1231,Georgia
South Fork Broad River Ws Str # 35,Madison_GA,GA,poor,high,2017-03-23,1963,34.09328,-83.29653,Georgia
South Fork River Ws Str # 27,Madison_GA,GA,poor,high,2017-03-23,1967,34.147909999999996,-83.27089000000001,Georgia
South Fork River Ws Str # 31,Madison_GA,GA,poor,high,2017-03-22,1962,34.047736,-83.276489,Georgia
Stonebridge Lake Dam,Floyd_GA,GA,poor,high,2017-03-16,0,34.339444,-85.189444,Georgia
Stonegate Lake Dam,Fulton_GA,GA,poor,high,2016-02-09,0,34.049167,-84.399722,Georgia
Stringers Lake Dam,Polk_GA,GA,poor,high,2016-03-24,1969,33.99277,-85.106111,Georgia
Summit Chase No. 1 Dam (Upstream),Gwinnett_GA,GA,poor,high,2016-01-27,1950,33.854167,-83.97027800000001,Georgia
Talking Rock Creek W/S Str. # 1,Pickens_GA,GA,poor,high,2016-06-22,1961,34.453610999999995,-84.597778,Georgia
Talking Rock Creek Ws Str # 13,Pickens_GA,GA,poor,high,2017-01-24,1963,34.51318,-84.48042,Georgia
Tara Lake Dam,Appling_GA,GA,poor,high,2013-01-23,1955,31.81025,-82.31300999999999,Georgia
Tara Lake Dam,Carroll_GA,GA,poor,high,2016-01-26,1972,33.645678000000004,-84.916622,Georgia
Tera Lee Lake Dam,Fulton_GA,GA,poor,high,2016-02-11,1958,33.899528000000004,-84.393556,Georgia
The Farm Lake Dam,Oconee_GA,GA,poor,high,2013-02-14,0,33.84688,-83.5133,Georgia
Timber Lake Dam,Cobb_GA,GA,poor,high,2017-04-07,1959,34.03417,-84.59944,Georgia
Trout Farm Lake Dam,Towns_GA,GA,poor,high,2016-03-16,1968,34.985240000000005,-83.70841999999999,Georgia
Vogel State Park Lake Dam,Union_GA,GA,poor,high,2016-03-16,1936,34.76931,-83.91702,Georgia
Walden Woods Lake Dam,Washington_GA,GA,poor,high,2017-03-07,1965,33.006640000000004,-82.78934,Georgia
Walter Richards Lake Dam,Harris_GA,GA,poor,high,2017-03-08,1940,32.70344,-85.07559,Georgia
Watson Road Lake Dam,Forsyth_GA,GA,unsatisfactory,high,2016-01-14,0,34.256111,-84.203056,Georgia
Weems Lake Dam,Henry_GA,GA,poor,high,2017-02-01,1960,33.491667,-84.241111,Georgia
Wigley Lake Dam,Cobb_GA,GA,poor,high,2016-02-10,0,34.005556,-84.51527800000001,Georgia
Willow Lake Dam,Fulton_GA,GA,poor,high,2016-02-04,1974,33.993936,-84.289389,Georgia
Willow Pond,Paulding_GA,GA,poor,high,2017-03-21,0,34.044990000000006,-84.75429,Georgia
Woodbridge Lake Dam,Columbia_GA,GA,poor,high,2017-02-02,1972,33.561440000000005,-82.15265,Georgia
York Lake Dam,Polk_GA,GA,poor,high,2016-01-26,0,34.006170000000004,-85.31021,Georgia
Young Lake Dam,Fannin_GA,GA,poor,high,2016-03-01,1971,34.855556,-84.39,Georgia
Aahoaka Reservoir,Kauai_HI,HI,poor,high,2017-11-16,1910,22.040388,-159.402379,Hawaii
Aepoekolu Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-11-10,1910,21.907991,-159.487699,Hawaii
Elima Reservoir,Kauai_HI,HI,poor,high,2018-04-05,1901,21.929962,-159.531674,Hawaii
Field 1 Kealia Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-05-24,1920,22.130470000000003,-159.35218799999998,Hawaii
Field 2 Kealia Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-05-24,1920,22.129532,-159.345087,Hawaii
Halenanahu Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-04-06,1920,21.964972,-159.432083,Hawaii
Hanakaoo Reservoir,Maui_HI,HI,poor,high,2016-11-23,1918,20.928707,-156.648924,Hawaii
Hawi No. 5 Reservoir,Hawaii_HI,HI,unsatisfactory,high,2018-04-09,1930,20.247016000000002,-155.843758,Hawaii
Hc&S Reservoir 14,Maui_HI,HI,poor,high,2015-08-13,1913,20.910645000000002,-156.348805,Hawaii
Hc&S Reservoir 15,Maui_HI,HI,poor,high,2015-08-13,1917,20.905023,-156.34745800000002,Hawaii
Hc&S Reservoir 20,Maui_HI,HI,poor,high,2015-06-29,1913,20.871179,-156.341573,Hawaii
Hc&S Reservoir 24,Maui_HI,HI,poor,high,2015-07-30,1917,20.887562,-156.355392,Hawaii
Hc&S Reservoir 42,Maui_HI,HI,poor,high,2015-05-19,1917,20.825567000000003,-156.37964399999998,Hawaii
Hc&S Reservoir 52,Maui_HI,HI,poor,high,2015-04-29,1917,20.859574,-156.40258500000002,Hawaii
Hc&S Reservoir 61,Maui_HI,HI,poor,high,2015-09-28,1917,20.872459,-156.412256,Hawaii
Hc&S Reservoir 70,Maui_HI,HI,poor,high,2015-03-24,1917,20.873616000000002,-156.435145,Hawaii
Hc&S Reservoir 73,Maui_HI,HI,poor,high,2016-02-24,1908,20.877623,-156.495606,Hawaii
Hc&S Reservoir 81,Maui_HI,HI,poor,high,2016-07-12,1920,20.814456,-156.416676,Hawaii
Hc&S Reservoir 84,Maui_HI,HI,poor,high,2015-04-29,1918,20.840815,-156.42505,Hawaii
Helemano 6 Reservoir,Honolulu_HI,HI,poor,high,2017-10-11,1915,21.552777,-158.06563500000001,Hawaii
Horner Reservoir,Maui_HI,HI,poor,high,2016-11-23,1926,20.925222,-156.648795,Hawaii
Hukiwai Reservoir,Kauai_HI,HI,poor,high,2017-03-09,1910,21.905734,-159.55911799999998,Hawaii
Ipuolono Reservoir,Kauai_HI,HI,poor,high,2018-07-10,1910,21.920425,-159.536125,Hawaii
Kahoma Reservoir,Maui_HI,HI,poor,high,2015-06-12,1918,20.901881,-156.640616,Hawaii
Kalihiwai Reservoir,Kauai_HI,HI,poor,high,2017-06-28,1920,22.187054,-159.432378,Hawaii
Kaloko Reservoir,Kauai_HI,HI,poor,high,2016-04-12,1890,22.178132,-159.379767,Hawaii
Kaneha Reservoir,Kauai_HI,HI,poor,high,2018-04-16,1910,22.131118,-159.371343,Hawaii
Kapa Reservoir,Kauai_HI,HI,poor,high,2018-07-10,1901,21.914944000000002,-159.572544,Hawaii
Kauai Lagoons,Kauai_HI,HI,poor,high,2017-11-02,1987,21.957628,-159.346259,Hawaii
Kaupale Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-11-17,1910,21.904992,-159.495728,Hawaii
Keaiwa Reservoir,Hawaii_HI,HI,poor,high,2018-04-13,1920,19.248499,-155.499877,Hawaii
Kehalani Offsite Retention Basin,Maui_HI,HI,poor,high,2015-04-02,2003,20.858112,-156.496687,Hawaii
Kemoo 5 Reservoir,Honolulu_HI,HI,poor,high,2018-05-04,1920,21.556074,-158.103653,Hawaii
Kepani Reservoir,Kauai_HI,HI,poor,high,2018-02-28,1954,22.002352,-159.617526,Hawaii
Kitano Reservoir,Kauai_HI,HI,poor,high,2017-11-29,1928,22.028432000000002,-159.673562,Hawaii
Ku Tree Reservoir,Honolulu_HI,HI,poor,high,2015-11-03,1925,21.497567,-157.981111,Hawaii
Kumano Reservoir,Kauai_HI,HI,poor,high,2016-11-17,1902,21.900292999999998,-159.497421,Hawaii
Lower Kapahi Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-08-03,1920,22.101591,-159.35281899999998,Hawaii
Mana Reservoir,Kauai_HI,HI,poor,high,2017-11-29,1905,22.031933,-159.758903,Hawaii
Manuhonuhonu Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-05-03,1954,21.894485,-159.48032800000001,Hawaii
Mau Reservoir,Kauai_HI,HI,unsatisfactory,high,2018-04-05,1901,21.927187,-159.530972,Hawaii
Mimino Reservoir,Kauai_HI,HI,poor,high,2016-03-15,1920,22.114864,-159.361788,Hawaii
Nuuanu Dam No. 4,Honolulu_HI,HI,poor,high,2017-11-02,1910,21.352632999999997,-157.80780900000002,Hawaii
Nuuanu Reservoir No. 1,Honolulu_HI,HI,poor,high,2017-08-01,1905,21.339684,-157.837398,Hawaii
Oahu Reservoir 155,Honolulu_HI,HI,poor,high,2015-12-14,1916,21.404622,-158.059328,Hawaii
Okinawa Reservoir,Kauai_HI,HI,poor,high,2016-05-03,1920,22.006322,-159.365055,Hawaii
Omao Reservoir,Kauai_HI,HI,unsatisfactory,high,2016-11-17,1915,21.921116,-159.48321299999998,Hawaii
Opaeula 15 Reservoir,Honolulu_HI,HI,poor,high,2017-08-31,1910,21.575369,-158.053402,Hawaii
Papaaea Reservoir,Maui_HI,HI,poor,high,2015-01-21,1902,20.883114000000003,-156.206434,Hawaii
Pia Mill Reservoir,Kauai_HI,HI,poor,high,2017-05-23,1910,21.920673999999998,-159.471302,Hawaii
Piwai Reservoir,Kauai_HI,HI,poor,high,2016-11-17,1916,21.932752,-159.490397,Hawaii
Twin Reservoirs,Kauai_HI,HI,poor,high,2018-03-07,1920,22.082227,-159.348859,Hawaii
Upper Helemano Reservoir,Honolulu_HI,HI,poor,high,2018-05-04,1912,21.52673,-158.02901699999998,Hawaii
Wahiawa Dam,Honolulu_HI,HI,poor,high,2018-05-18,1906,21.497654999999998,-158.049151,Hawaii
Waiakalua Reservoir,Kauai_HI,HI,poor,high,2018-03-07,1920,22.199814,-159.373854,Hawaii
Waikoloa Reservoir No. 1,Hawaii_HI,HI,poor,high,2018-04-10,1970,20.038120000000003,-155.67246799999998,Hawaii
Waikoloa Reservoir No. 2,Hawaii_HI,HI,poor,high,2018-04-10,1975,20.038917,-155.675203,Hawaii
Autumn Lake Dam,Brown_IN,IN,poor,high,2016-09-21,1969,39.321943,-86.27111,Indiana
Autumn Winds Dam,Vanderburgh_IN,IN,poor,high,2017-08-15,1930,38.058333000000005,-87.56722099999999,Indiana
Beechwood Lake Dam,Greene_IN,IN,poor,high,2016-08-18,1957,39.084721,-86.88110999999999,Indiana
Bittersweet Lake Dam,Brown_IN,IN,poor,high,2007-08-04,1964,39.321943,-86.169443,Indiana
Bittner Lake Dam,Vanderburgh_IN,IN,poor,high,2002-01-10,1956,38.084721,-87.61,Indiana
Busseron Dam No. L-1,Sullivan_IN,IN,poor,high,2017-05-11,1961,39.101665999999994,-87.42361,Indiana
Crawfordsville Community Sportsmens Club Lake Dam,Montgomery_IN,IN,poor,high,2011-12-16,1950,40.033888,-86.96583299999999,Indiana
Crosstie Lake Dam,Ripley_IN,IN,poor,high,2013-04-30,1964,39.288055,-85.23722099999999,Indiana
Daisy Lake Dam,Vigo_IN,IN,poor,high,2009-11-19,1979,39.508333,-87.440555,Indiana
Delaney Creek Dam No. 1,Washington_IN,IN,poor,high,2016-03-08,1971,38.694721,-86.067777,Indiana
Delaney Creek Dam No. 14,Washington_IN,IN,poor,high,2016-03-08,1982,38.694721,-86.01694300000001,Indiana
Delaney Creek Dam No. 16,Washington_IN,IN,poor,high,2016-03-08,1982,38.728609999999996,-86.067777,Indiana
Delaney Creek Dam No. 2,Washington_IN,IN,poor,high,2016-03-07,1971,38.677777,-86.050833,Indiana
Delaney Creek Dam No. 3,Washington_IN,IN,poor,high,2016-03-07,1973,38.694721,-86.067777,Indiana
Dugan Lake Dam,Owen_IN,IN,poor,high,2017-04-14,1960,39.321943,-86.7625,Indiana
Falcon Crest Lake Dam,Morgan_IN,IN,poor,high,2016-09-23,1992,39.474443,-86.491388,Indiana
Forest Lake Dam,Hendricks_IN,IN,poor,high,2000-12-08,1965,39.755,-86.408333,Indiana
Hart Lake Dam,Morgan_IN,IN,poor,high,2012-10-24,1950,39.559166,-86.440555,Indiana
Hawthorn Park Dam,Vigo_IN,IN,poor,high,2015-09-04,1930,39.491388,-87.321943,Indiana
Hillview Lake Dam,Jackson_IN,IN,poor,high,2016-06-01,1961,38.813333,-86.067777,Indiana
Klingman Lake Dam,Scott_IN,IN,poor,high,2013-04-18,1958,38.643888000000004,-85.61,Indiana
Kokomo Waterworks Off Channel Dam,Howard_IN,IN,poor,high,2015-10-16,1954,40.491388,-86.0,Indiana
La Lumiere Dam,Laporte_IN,IN,poor,high,2017-05-02,1940,41.711665999999994,-86.71166600000001,Indiana
Lake Deturk Dam,Morgan_IN,IN,poor,high,2016-11-03,1972,39.440554999999996,-86.406666,Indiana
Lake Geneva Dam,Switzerland_IN,IN,poor,high,2015-06-25,1944,38.864166,-85.033888,Indiana
Lake George Dam,Steuben_IN,IN,poor,high,2015-07-09,1927,41.7625,-85.0,Indiana
Lake Haven Dam,Henry_IN,IN,poor,high,2016-04-05,1954,39.864166,-85.491388,Indiana
Lake Latonka Dam,Marshall_IN,IN,poor,high,2016-05-06,1964,41.288055,-86.406666,Indiana
Lake Of The Four Seasons (Lower) C,Lake_IN,IN,poor,high,2014-04-08,1966,41.389721,-87.220277,Indiana
Lake Of The Woods Dam,Porter_IN,IN,poor,high,2016-05-11,1937,41.4575,-87.050833,Indiana
Lake Salinda Dam,Washington_IN,IN,poor,high,2017-01-19,1947,38.57611,-86.084721,Indiana
Magness Lake Dam #1,Brown_IN,IN,poor,high,2011-05-31,1962,39.203333,-86.27111,Indiana
Miller Lake Dam,Brown_IN,IN,poor,high,2017-04-25,1952,39.203333,-86.23722099999999,Indiana
Moriarity Lake Dam,Grant_IN,IN,poor,high,2002-07-22,2000,40.525277,-85.61,Indiana
Muddy Fork Structure No. 3,Clark_IN,IN,poor,high,2017-07-12,1973,38.440554999999996,-85.982777,Indiana
Muddy Fork Structure No. 6,Clark_IN,IN,poor,high,2017-07-10,2004,38.440554999999996,-85.898055,Indiana
North Lake Estates West Lake Dam,Vanderburgh_IN,IN,poor,high,2017-05-26,1950,38.050833000000004,-87.660833,Indiana
Ogle Lake Dam,Brown_IN,IN,poor,high,2016-07-29,1939,39.1525,-86.23722099999999,Indiana
Orleans Lake Dam,Orange_IN,IN,poor,high,2017-04-18,1950,38.677777,-86.440555,Indiana
Reverend Frame Lake Dam,Brown_IN,IN,poor,high,2011-08-04,1975,39.203333,-86.27111,Indiana
Ridgeview Lake Dam,Cass_IN,IN,poor,high,2017-04-13,1965,40.728609999999996,-86.525277,Indiana
Robert Crowder Dam,Parke_IN,IN,poor,high,2017-12-28,1971,39.677777,-87.10166600000001,Indiana
Roc-Mar-Ton Lake Dam,Madison_IN,IN,poor,high,2016-11-04,1929,40.0,-85.593055,Indiana
Roger Young Lake Dam,Johnson_IN,IN,unsatisfactory,high,1995-10-23,1976,39.338888,-86.13555500000001,Indiana
Saddle Lake Dam,Adams_IN,IN,poor,high,2000-08-31,1938,40.864166,-84.898055,Indiana
Schnellville Conservation Club Lake Dam,Dubois_IN,IN,poor,high,2016-05-03,1945,38.355833000000004,-86.74555500000001,Indiana
Sugar Hills Lake Dam,Hancock_IN,IN,poor,high,2016-09-08,1972,39.864166,-85.830277,Indiana
Svcd Structure No. F-6 (Collins Lake),Orange_IN,IN,poor,high,2016-06-29,1965,38.474443,-86.593055,Indiana
Terrace Lake Dam,Bartholomew_IN,IN,poor,high,2016-11-15,1948,39.186388,-85.96583299999999,Indiana
Thomas J. Miller Lake Dam,Scott_IN,IN,poor,high,2015-10-22,1973,38.643888000000004,-85.72861,Indiana
Tousley Dam,Brown_IN,IN,poor,high,2017-10-31,1953,39.237221000000005,-86.084721,Indiana
Treece Lake Dam,Tippecanoe_IN,IN,poor,high,2011-09-01,1974,40.508333,-86.74555500000001,Indiana
Twin-Rush Creek Dam No. 1,Washington_IN,IN,poor,high,2017-05-16,1980,38.694721,-86.220277,Indiana
Twin-Rush Creek Dam No. 2,Washington_IN,IN,poor,high,2017-01-19,1969,38.694721,-86.1525,Indiana
Twin-Rush Creek Dam No. 3,Washington_IN,IN,poor,high,2017-05-16,1969,38.677777,-86.169443,Indiana
Upper Spring Lake Dam,Morgan_IN,IN,poor,high,2002-04-26,1964,39.593055,-86.305,Indiana
Van Rooy Lake Dam,Morgan_IN,IN,poor,high,2017-06-20,1963,39.440554999999996,-86.288055,Indiana
Versailles Lake Dam,Ripley_IN,IN,poor,high,2016-07-28,1956,39.067777,-85.23722099999999,Indiana
Wagner Youth Camp Lake Dam,Grant_IN,IN,poor,high,2017-10-19,1948,40.593055,-85.660833,Indiana
Whip-Poor-Will Dam,Morgan_IN,IN,poor,high,2017-01-26,1956,39.338888,-86.47444300000001,Indiana
Wildwood Shores Lake Dam,Morgan_IN,IN,poor,high,2017-04-07,1974,39.61,-86.288055,Indiana
Wright Lake Dam,Brown_IN,IN,poor,high,2015-10-10,1970,39.169443,-86.11861,Indiana
Yarling Lake Dam,Brown_IN,IN,poor,high,2011-12-08,1950,39.321943,-86.186388,Indiana
Young Lake Dam,Monroe_IN,IN,poor,high,2013-01-10,1996,39.132221,-86.49333299999999,Indiana
Zehner Mill Pond Dam,Marshall_IN,IN,poor,high,2009-10-20,1933,41.305,-86.406666,Indiana
Cedar Lake (Old Olathe Lake),Johnson_KS,KS,poor,high,2014-09-09,1931,38.846427,-94.84945,Kansas
Dam No 1,Wyandotte_KS,KS,poor,high,2016-03-31,1940,39.066384,-94.84083100000001,Kansas
Dd No 4-14A,Hodgeman_KS,KS,poor,high,2017-04-19,0,38.04853485,-100.02999657,Kansas
Dd No A-1,Gray_KS,KS,poor,high,2017-10-10,1961,37.81004602,-100.37614930000001,Kansas
Dd No B-1,Gray_KS,KS,poor,high,2017-10-10,1961,37.81277723,-100.36104749,Kansas
Dd No D-1,Gray_KS,KS,poor,high,2017-10-10,1959,37.80926587,-100.33743255,Kansas
Dd No E-1,Gray_KS,KS,poor,high,2017-10-10,1959,37.80881233,-100.32581331,Kansas
Dd No M-9,Franklin_KS,KS,poor,high,2017-05-31,1987,38.554793,-95.352214,Kansas
Frd No 5,Chautauqua_KS,KS,poor,high,2013-04-20,1966,37.15183869,-96.42261693,Kansas
Frd No 5,Shawnee_KS,KS,poor,high,2016-02-25,1972,38.94454266,-95.75192453,Kansas
Gs Dd No D-34,Jackson_KS,KS,poor,high,2015-12-09,1998,39.40540902,-95.63496127,Kansas
Highland Lake Dam,Lincoln_KS,KS,poor,high,2017-11-21,1956,38.92982,-98.387149,Kansas
International Speedway,Wyandotte_KS,KS,poor,high,2017-03-22,0,39.108414,-94.81756,Kansas
Jaycee Dam,Butler_KS,KS,poor,high,2013-01-11,1958,37.74525552,-96.95739634,Kansas
Lake Dabinawa,Jefferson_KS,KS,poor,high,2017-09-14,1958,39.13099977,-95.24021311,Kansas
Lake Estates West,Linn_KS,KS,poor,high,2015-04-23,1976,38.284603000000004,-94.82701899999999,Kansas
Legacy Lakes,Shawnee_KS,KS,poor,high,2015-04-29,1966,38.99157979,-95.7865775,Kansas
Lugar Dam,Wyandotte_KS,KS,poor,high,2016-06-23,1975,39.126233,-94.907312,Kansas
Rimrock Dam,Geary_KS,KS,poor,high,2015-05-27,0,39.021738,-96.850267,Kansas
Rogers Dam,Riley_KS,KS,unsatisfactory,high,2016-02-19,0,39.22452595,-96.60434979,Kansas
Santa Fe Lake Dam,Butler_KS,KS,poor,high,2018-01-31,0,37.704077000000005,-97.047196,Kansas
South Branch Dam,Shawnee_KS,KS,poor,high,2012-08-07,1953,38.997780999999996,-95.7122,Kansas
Upper Dam,Butler_KS,KS,poor,high,2015-03-31,0,37.75617187,-97.05516317,Kansas
Wallace Dam,Wyandotte_KS,KS,poor,high,2012-12-19,0,39.090303999999996,-94.82687,Kansas
Willow Lake,Johnson_KS,KS,unsatisfactory,high,2015-09-15,1960,38.87050996,-94.61624958,Kansas
Beech Creek Dam,Clay_KY,KY,poor,high,2018-02-26,1963,37.167724,-83.70852,Kentucky
Blancett Dam,Breckinridge_KY,KY,poor,high,2018-06-06,1964,37.783361,-86.449349,Kentucky
Bloomfield City Park Dam,Nelson_KY,KY,poor,high,2017-04-20,1952,37.9136111111111,-85.3227777777778,Kentucky
Boltz Lake Dam,Grant_KY,KY,poor,high,2017-04-13,1956,38.706769,-84.619626,Kentucky
Brereton Jones Dam,Gallatin_KY,KY,poor,high,2017-11-02,2000,38.76699,-84.7965,Kentucky
Buck Creek Frs No 4,Lincoln_KY,KY,poor,high,2016-08-04,1970,37.3827777777778,-84.55722222222221,Kentucky
Bullitt Co Sportsmens Club Dam,Bullitt_KY,KY,poor,high,2018-01-31,1950,37.941148,-85.657438,Kentucky
Bullock Pen Lake Dam,Grant_KY,KY,poor,high,2018-07-05,1953,38.7883333333333,-84.6558333333333,Kentucky
Caney Creek Frs 6,Grayson_KY,KY,poor,high,2018-04-30,1966,37.44129,-86.49809,Kentucky
Cedar Creek Dam,Lincoln_KY,KY,poor,high,2017-06-08,1999,37.496071,-84.55109,Kentucky
Claryville Lake Dam,Campbell_KY,KY,poor,high,2017-05-18,1940,38.9125,-84.3991666666667,Kentucky
Covered Bridge Farm Lake Dam,Oldham_KY,KY,poor,high,2018-05-23,1960,38.365,-85.5902777777778,Kentucky
Cranks Creek Lake Dam,Harlan_KY,KY,poor,high,2018-05-09,1963,36.7385,-83.23808000000001,Kentucky
Curtis Begley Lake,Owsley_KY,KY,poor,high,2016-11-29,1970,37.4827777777778,-83.7558333333333,Kentucky
David Tarter,Adair_KY,KY,poor,high,2016-12-08,1984,37.183174,-85.048694,Kentucky
Duncan Nave Dam,Jessamine_KY,KY,poor,high,2017-11-16,1930,37.886576,-84.567047,Kentucky
East Fork Clarks River Frs No 32,Marshall_KY,KY,unsatisfactory,high,2018-01-23,1962,36.919294,-88.35595500000001,Kentucky
East Fork Clarks River Frs No 33,Marshall_KY,KY,poor,high,2018-01-23,1963,36.961715999999996,-88.40042,Kentucky
Echo Dam,Powell_KY,KY,poor,high,2018-04-18,1961,37.8280555555556,-83.8736111111111,Kentucky
Elkhorn Lake Dam,Letcher_KY,KY,poor,high,2018-05-30,1912,37.168366,-82.634689,Kentucky
Elmer Wilmot Farm Dam,Garrard_KY,KY,poor,high,2017-11-28,1966,37.524479,-84.381483,Kentucky
Fordsville Lake Dam,Ohio_KY,KY,poor,high,2018-06-06,1963,37.63865,-86.71088,Kentucky
Fox Creek Frs 3,Fleming_KY,KY,poor,high,2017-01-24,1973,38.341963,-83.552173,Kentucky
Fox Creek Frs 6A,Fleming_KY,KY,poor,high,2017-01-24,1972,38.317788,-83.539647,Kentucky
Gilbert Dam,Bullitt_KY,KY,poor,high,2018-02-13,1985,38.085167,-85.706041,Kentucky
Guist Creek Lake Dam,Shelby_KY,KY,poor,high,2017-05-08,1961,38.20722222222221,-85.1583333333333,Kentucky
Harmony Lake Dam,Oldham_KY,KY,poor,high,2017-11-08,1955,38.4075,-85.58944444444441,Kentucky
Hollybush Dam,Perry_KY,KY,poor,high,2018-02-26,1988,37.38405,-83.270911,Kentucky
Homestead Lake Dam,Hopkins_KY,KY,poor,high,2018-03-07,1940,37.1763,-87.55145999999999,Kentucky
Kentucky River Dam No 10,Madison_KY,KY,poor,high,2017-11-16,1907,37.89504,-84.262,Kentucky
Lake Carnico Dam,Nicholas_KY,KY,poor,high,2017-10-12,1963,38.34579,-84.0439,Kentucky
Lake Nevin Dam,Bullitt_KY,KY,poor,high,2018-04-05,1950,37.919445,-85.67219200000001,Kentucky
Lexington Reservoir No 3,Fayette_KY,KY,poor,high,2016-05-19,1902,38.0005555555556,-84.4727777777778,Kentucky
Lexington Reservoir No 4,Fayette_KY,KY,poor,high,2016-05-19,1920,37.9772222222222,-84.44944444444441,Kentucky
Liberty Reservoir Dam,Casey_KY,KY,poor,high,2016-12-08,1979,37.323195,-84.895901,Kentucky
Loch Mary Reservoir Dam,Hopkins_KY,KY,unsatisfactory,high,2018-03-07,1950,37.27383,-87.51890999999999,Kentucky
Lower Alexandria Dam,Campbell_KY,KY,poor,high,2017-07-12,1958,38.9677777777778,-84.3716666666667,Kentucky
Lower Eagle Creek Golf Course Dam,Oldham_KY,KY,poor,high,2018-05-23,1967,38.3805555555556,-85.3666666666667,Kentucky
Luzerne Lake Dam,Muhlenberg_KY,KY,unsatisfactory,high,2018-02-28,1940,37.213135,-87.195987,Kentucky
Maple Leaf Dam,Ohio_KY,KY,poor,high,2018-06-14,1953,37.5633333333333,-86.9763888888889,Kentucky
Marion County Sportsmans Dam,Marion_KY,KY,poor,high,2017-09-28,1953,37.5130555555556,-85.2480555555556,Kentucky
Marsillett Dam,Floyd_KY,KY,poor,high,2017-03-29,1971,37.696706,-82.894254,Kentucky
Mckee Scout Camp Lake Dam,Montgomery_KY,KY,poor,high,2017-08-09,1959,37.9375,-83.93222222222221,Kentucky
Mclean County Fish & Game Club Lake,Mclean_KY,KY,poor,high,2018-06-14,1956,37.609801000000004,-87.252585,Kentucky
Melvin Stinson Lake,Todd_KY,KY,unsatisfactory,high,2017-03-07,1958,36.83972222222221,-87.15194444444441,Kentucky
Mill Creek Mps No 4,Monroe_KY,KY,poor,high,2017-09-28,1972,36.682956,-85.701311,Kentucky
Mitchell Hill Lake Dam,Jefferson_KY,KY,poor,high,2018-02-13,1970,38.080713,-85.763954,Kentucky
Morganfield City Lake Dam,Union_KY,KY,poor,high,2018-04-13,1935,37.6822222222222,-87.8883333333333,Kentucky
Norton Commons Dam,Jefferson_KY,KY,poor,high,2016-09-01,2002,38.32145,-85.5695,Kentucky
Nortonville Lake Dam,Hopkins_KY,KY,poor,high,2018-03-07,1940,37.181,-87.46381,Kentucky
Otter Lake Dam,Hopkins_KY,KY,poor,high,2018-03-05,1959,37.406562,-87.518005,Kentucky
Otter Lake Dam No 2,Hopkins_KY,KY,poor,high,2017-03-16,1979,37.397069,-87.52731,Kentucky
Quinn Dam,Hancock_KY,KY,poor,high,2018-06-06,1952,37.78068,-86.7078,Kentucky
Ralph Waldrop Lake (East),Graves_KY,KY,poor,high,2018-05-07,1965,36.704862,-88.58921099999999,Kentucky
Ralph Waldrop Lake Dam (West),Graves_KY,KY,poor,high,2018-05-07,1974,36.72782,-88.67156,Kentucky
